,source_mat_id,source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,noteworthy_env_cond,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample,ref_code,obs_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,down_par,down_par_method,diss_oxygen,diss_oxygen_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method,env_package
0,EMOBON_HCMR-1_Wa_1,EMO BON HCMR-1 Wa 210628 3um_1,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28,HCMR-1_Wa_210628,Maria Maindanou,,no_tide,1.0,,1,30.0,1.5,3-200,3.0,200.0,,Jerrycan,WaSOP 1,,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80.0,Melanthia Stavroulaki,0000-0003-4392-7159,,,,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,,,,EMOBON00068,HCMR-1,0.236,TD-700 Laboratory Fluorometer,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_column
1,EMOBON_HCMR-1_Wa_2,EMO BON HCMR-1 Wa 210628 3um_2,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28,HCMR-1_Wa_210628,Maria Maindanou,,no_tide,1.0,,2,30.0,1.5,3-200,3.0,200.0,,Jerrycan,WaSOP 1,,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80.0,Melanthia Stavroulaki,0000-0003-4392-7159,,,,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,,low yields; seq library prep failed,,EMOBON00069,HCMR-1,0.236,TD-700 Laboratory Fluorometer,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_column
2,EMOBON_HCMR-1_Wa_5,EMO BON HCMR-1 Wa 210628 0.22um_1,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28,HCMR-1_Wa_210628,Maria Maindanou,,no_tide,1.0,,1,30.0,1.5,0.2-3,0.2,3.0,,Jerrycan,WaSOP 1,,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80.0,Melanthia Stavroulaki,0000-0003-4392-7159,,,,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,,,,EMOBON00071,HCMR-1,0.236,TD-700 Laboratory Fluorometer,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_column
3,EMOBON_HCMR-1_Wa_6,EMO BON HCMR-1 Wa 210628 0.22um_2,EMOBON metagenome water sample from station HCMR-1 collected on 2021-06-28 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-06-28,HCMR-1_Wa_210628,Maria Maindanou,,no_tide,1.0,,2,30.0,1.5,0.2-3,0.2,3.0,,Jerrycan,WaSOP 1,,2021-06-28,"Basement, New chest freezer -80C, Left side, Carton box",-80.0,Melanthia Stavroulaki,0000-0003-4392-7159,,,,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,,,,EMOBON00072,HCMR-1,0.236,TD-700 Laboratory Fluorometer,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,27.7,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,39.4,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_column
4,EMOBON_HCMR-1_Wa_13,EMO BON HCMR-1 Wa 210917 3um_1,EMOBON metagenome water sample from station HCMR-1 collected on 2021-09-17 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17,HCMR-1_Wa_210917,Apostolos Kristallas,,no_tide,1.0,,1,30.0,1.5,3-200,3.0,200.0,,Jerrycan,WaSOP 1,,2021-09-17,"Basement, New chest freezer -80C, Left side, Carton box",-80.0,Melanthia Stavroulaki,0000-0003-4392-7159,,,,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,,low yields; seq library prep failed,,EMOBON00074,HCMR-1,0.05,TD-700 Laboratory Fluorometer,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_column
5,EMOBON_HCMR-1_Wa_14,EMO BON HCMR-1 Wa 210917 3um_2,EMOBON metagenome water sample from station HCMR-1 collected on 2021-09-17 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17,HCMR-1_Wa_210917,Apostolos Kristallas,,no_tide,1.0,,2,30.0,1.5,3-200,3.0,200.0,,Jerrycan,WaSOP 1,,2021-09-17,"Basement, New chest freezer -80C, Left side, Carton box",-80.0,Melanthia Stavroulaki,0000-0003-4392-7159,,,,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,,low yields; seq library prep failed,,EMOBON00075,HCMR-1,0.05,TD-700 Laboratory Fluorometer,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_column
6,EMOBON_HCMR-1_Wa_17,EMO BON HCMR-1 Wa 210917 0.22um_1,EMOBON metagenome water sample from station HCMR-1 collected on 2021-09-17 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17,HCMR-1_Wa_210917,Apostolos Kristallas,,no_tide,1.0,,1,30.0,1.5,3-200,0.2,3.0,,Jerrycan,WaSOP 1,,2021-09-17,"Basement, New chest freezer -80C, Left side, Carton box",-80.0,Melanthia Stavroulaki,0000-0003-4392-7159,,,,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,,low yields; seq library prep failed,,EMOBON00077,HCMR-1,0.05,TD-700 Laboratory Fluorometer,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_column
7,EMOBON_HCMR-1_Wa_18,EMO BON HCMR-1 Wa 210917 0.22um_2,EMOBON metagenome water sample from station HCMR-1 collected on 2021-09-17 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17,HCMR-1_Wa_210917,Apostolos Kristallas,,no_tide,1.0,,2,30.0,1.5,3-200,0.2,3.0,,Jerrycan,WaSOP 1,,2021-09-17,"Basement, New chest freezer -80C, Left side, Carton box",-80.0,Melanthia Stavroulaki,0000-0003-4392-7159,,,,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,,low yields; seq library prep failed,,EMOBON00078,HCMR-1,0.05,TD-700 Laboratory Fluorometer,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,25.6,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,40.0,HQ1140 Portable Conductivity/TDS Meter with Conductivity Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_column
8,EMOBON_HCMR-1_Wa_21,EMO BON HCMR-1 Wa 210917 3um_Blank,EMOBON metagenome water sample from station HCMR-1 collected on 2021-09-17 size fraction 3-200um,256318,metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17,HCMR-1_Wa_210917,Apostolos Kristallas,,no_tide,1.0,,blank_1,30.0,3.5,3-200,3.0,200.0,,Jerrycan,WaSOP 1,,2021-09-17,"Basement, New chest freezer -80C, Left side, Carton box",-80.0,Melanthia Stavroulaki,0000-0003-4392-7159,,,,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,,,,EMOBON00076,HCMR-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_column
9,EMOBON_HCMR-1_Wa_23,EMO BON HCMR-1 Wa 210917 0.22um_Blank,EMOBON metagenome water sample from station HCMR-1 collected on 2021-09-17 size fraction 0.2-3um,256318,metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150],2021-09-17,HCMR-1_Wa_210917,Apostolos Kristallas,,no_tide,1.0,,blank_1,30.0,3.5,0.2-3,0.2,3.0,,Jerrycan,WaSOP 1,,2021-09-17,"Basement, New chest freezer -80C, Left side, Carton box",-80.0,Melanthia Stavroulaki,0000-0003-4392-7159,,,,2021-10-15,2021-10-25,-70.0,2021-11-24,2021-11-24,,,,EMOBON00079,HCMR-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,water_column
